,train_loss,val_loss
0,6.362746169692592,3.874134260065415
1,2.9429509585961364,3.1289785819895126
2,2.43333229355346,2.811157934805926
3,2.1025053549529913,2.9187174544614902
4,1.7108520332135653,2.6519698675941017
5,1.5373275692301585,2.835987084052142
6,1.3518242051726894,2.674739255624659
7,1.139836713783723,2.6323821123908546
8,1.0509132608435208,2.654204522862154
9,0.9230955386520329,2.7450371910544002
10,0.8679848154236499,2.643532998421613
11,0.7940156401548171,2.578029092620401
12,0.7373553023750621,2.6415097082362458
13,0.6699278446516597,2.518696287099053
14,0.6455484368747338,2.6968323553309723
15,0.5742112707374687,2.52935388508965
16,0.5456482279569583,2.528845001669491
17,0.5229642762053281,2.7433916260214413
18,0.4899921363457701,2.7522343467263615
19,0.47529316968039464,2.591854116495918
20,0.4426046385800928,2.526364943560432
21,0.4459846023106037,2.6963974097195793
22,0.41438018032034535,2.595558804624221
23,0.3939144034358792,2.7049166384865257
24,0.39007583282943953,2.7708176093942978
25,0.38443981749670847,2.676068025476792
26,0.37657435742535983,2.6226308556164013
27,0.3713717802350682,2.5740044467589436
28,0.3367908915182702,2.7028416254941154
29,0.32572815236740543,2.563105260624605
